,0
0,"AC 121 01 Principles of Accounting I Pilcher, Amy J. 5/45 Open"
1,"MWF 10:45 AM-11:50 AM; Wartburg College Campus, Whitehouse Business Center, CLASSROOM"
2,"1.00 1/6/2020 4/17/2020AC 122 01 Principles of Accounting II Pilcher, Amy J. 3/45 Open"
3,"MWF 12:00 PM-1:05 PM; Wartburg College Campus, Whitehouse Business Center, CLASSROOM"
4,"1.00 1/6/2020 4/17/2020AC 122 02 Principles of Accounting II Pilcher, Amy J. 7/45 Open"
5,"MWF 2:30 PM-3:35 PM; Wartburg College Campus, Whitehouse Business Center, CLASSROOM"
6,"1.00 1/6/2020 4/17/2020AC 322 01 Intermediate Accounting II Crouse, Justin D. 1/28 Open"
7,"MWF 9:00 AM-10:05 AM; Wartburg College Campus, Whitehouse Business Center, CLASSROOM"
8,"1.00 1/6/2020 4/17/2020AC 323 01 Cost Accounting Pilcher, Amy J. 3/30 Open"
9,"TH 9:35 AM-11:15 AM; Wartburg College Campus, Whitehouse Business Center, CLASSROOM"
10,"1.00 1/6/2020 4/17/2020AC 371 01 N Internship Advantage Administrators Sommermeyer, Eric 0/2 Full"
11,"0.25 1/6/2020 4/17/2020AC 371 02 N Internship CPM Holdings Crouse, Justin D. 0/1 Full"
12,"1.00 1/6/2020 4/17/2020AC 371 03 N Internship Latta Harris LLP Crouse, Justin D. 0/1 Full"
13,"1.00 1/6/2020 4/17/2020AC 371 04 N Internship RSM US LLP Crouse, Justin D. 0/1 Full"
14,"1.00 1/6/2020 4/17/2020AC 424 01 Income Tax Accounting II Sommermeyer, Eric 31/40 Open"
15,"MWF 10:45 AM-11:50 AM; Wartburg College Campus, Whitehouse Business Center, Classroom"
16,"1.00 1/6/2020 4/17/2020AC 425 01 Auditing Sommermeyer, Eric 10/24 Open"
17,"MWF 7:45 AM-8:50 AM; Wartburg College Campus, Whitehouse Business Center, Classroom"
18,"H 7:45 AM-9:25 AM; Wartburg College Campus, Whitehouse Business Center, Classroom"
19,"1.50 1/6/2020 4/17/2020ART 108 01 Graphic Design Sund, Penny S. 4/20 Open"
20,"MWF 9:00 AM-10:05 AM; Wartburg College Campus, Fine Arts Center, Art Dept Computer Classroom"
21,"1.00 1/6/2020 4/17/2020ART 108 02 Graphic Design Payne, Thomas R. 1/20 Open"
22,"MWF 1:15 PM-2:20 PM; Wartburg College Campus, Fine Arts Center, Art Dept Computer Classroom"
23,"1.00 1/6/2020 4/17/2020ART 111 01 Drawing Fedeler, Barbara J. 0/16 Full"
24,"TH 8:30 AM-11:15 AM; Wartburg College Campus, Fine Arts Center, Art Department Classroom only"
25,"1.00 1/6/2020 4/17/2020ART 201 01 Painting Fedeler, Barbara J. 8/20 Open"
26,"TH 1:00 PM-3:35 PM; Wartburg College Campus, Fine Arts Center, Art Dept Print Classroom"
27,"1.00 1/6/2020 4/17/2020ART 205 01 Communication Design Payne, Thomas R. 7/20 Open"
28,"MWF 10:45 AM-11:50 AM; Wartburg College Campus, Fine Arts Center, Art Dept Computer Classroom"
29,"1.00 1/6/2020 4/17/2020ART 260 01 History of Western Art Fedeler, Barbara J. 1/20 Open"
30,"MWF 10:45 AM-11:50 AM; Wartburg College Campus, Fine Arts Center, Art classroom"
31,"1.00 1/6/2020 4/17/2020ART 301 01 Advanced Drawing and Painting Fedeler, Barbara J. 15/18 Open"
32,"TH 1:00 PM-3:35 PM; Wartburg College Campus, Fine Arts Center, Art Dept Print Classroom"
33,"1.00 1/6/2020 4/17/2020ART 310 01 Advanced Design Projects Payne, Thomas R. 5/20 Open"
